,summary,config,name
22,"{'_val loss': 1.0612, '_timestamp': 1684218711.1690202, 'acc': 0.4642857142857143, '_step': 34, '_wandb': {'runtime': 17}, '_runtime': 19.2016921043396, 'tst loss': 1.0514, '_trn loss': 1.0465}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F6003
23,"{'_timestamp': 1684218708.740471, 'acc': 0.42857142857142855, '_step': 90, '_wandb': {'runtime': 40}, '_runtime': 42.67249083518982, 'tst loss': 1.0978, '_trn loss': 1.0641, '_val loss': 1.122}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M2003
24,"{'acc': 0.405940594059406, '_step': 24, '_wandb': {'runtime': 13}, '_runtime': 15.118951082229614, 'tst loss': 1.0936, '_trn loss': 1.0705, '_val loss': 1.1088, '_timestamp': 1684218661.291549}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M2002
25,"{'_val loss': 1.1142, '_timestamp': 1684218631.8483434, 'acc': 0.6666666666666666, '_step': 22, '_wandb': {'runtime': 12}, '_runtime': 14.423408269882202, 'tst loss': 1.0805, '_trn loss': 1.0825}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M2001
26,"{'_wandb': {'runtime': 73}, '_runtime': 75.30613160133362, 'tst loss': 0.9561, '_trn loss': 0.7838, '_val loss': 0.9997, '_timestamp': 1684218686.9382596, 'acc': 0.6190476190476191, '_step': 170}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F6002
27,"{'_trn loss': 1.105, '_val loss': 1.1395, '_timestamp': 1684218613.6224675, 'acc': 0.061855670103092786, '_step': 29, '_wandb': {'runtime': 13}, '_runtime': 15.042208433151243, 'tst loss': 1.2024}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F7002
28,"{'_timestamp': 1684218607.357746, 'acc': 0.2345679012345679, '_step': 38, '_wandb': {'runtime': 18}, '_runtime': 19.59125781059265, 'tst loss': 1.1106, '_trn loss': 1.0388, '_val loss': 1.0532}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F6001
29,"{'_step': 19, '_wandb': {'runtime': 8}, '_runtime': 10.4923415184021, 'tst loss': 1.0806, '_trn loss': 1.0944, '_val loss': 1.0839, '_timestamp': 1684218594.1380403, 'acc': 0.047619047619047616}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F6003
30,"{'acc': 0.7261904761904762, '_step': 65, '_wandb': {'runtime': 33}, '_runtime': 35.35340166091919, 'tst loss': 1.0639, '_trn loss': 1.0684, '_val loss': 1.0943, '_timestamp': 1684218579.2002966}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F6002
31,"{'_timestamp': 1684218583.426239, 'acc': 0.5132743362831859, '_step': 99, '_wandb': {'runtime': 46}, '_runtime': 48.41062808036804, 'tst loss': 1.0534, '_trn loss': 0.9348, '_val loss': 1.0628}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F5002
